2020-12-06,11:27,Sunday,AUSTRIA ERSTE LIGA,Licht Loidl Lafnitz,BW Linz,1:0,1:0,3.11,PIN,OVER,Lost,-1
2020-12-06,12:52,Sunday,HOLLAND EERSTE DIVISIE,Den Bosch,NEC Nijmegen,2:2,2:2,2.265,P88,OVER,Lost,-1
2020-12-06,13:10,Sunday,*ITALY SERIE A,Hellas Verona FC,Cagliari,1:1,1:1,3.45,PIN,OVER,Lost,-1
2020-12-06,13:30,Sunday,FRANCE LIGUE 1,Lille OSC,AS Monaco,2:0,2:1,2.036,P88,OVER,Won,1.04
2020-12-06,13:31,Sunday,GERMANY BUNDESLIGA 3,Wehen Wiesbaden,Hansa Rostock,2:1,2:1,1.961,PIN,OVER,Lost,-1
2020-12-06,14:11,Sunday,GERMANY BUNDESLIGA 2,Erzgebirge Aue,Jahn Regensburg,0:2,0:2,2.62,PIN,OVER,Lost,-1
2020-12-06,14:12,Sunday,GERMANY BUNDESLIGA 2,SC Paderborn 07,Nurnberg,0:2,0:2,2.9,PIN,OVER,Lost,-1
2020-12-06,14:31,Sunday,CZECH REPUBLIC FIRST LEAGUE,FC Zbrojovka Brno,Ceske Budejovice,1:2,1:3,2.15,PIN,OVER,Won,1.15
2020-12-06,14:33,Sunday,GREECE SUPER LEAGUE,OFI Crete,Apollon Smirnis,0:2,0:2,1.925,PIN,OVER,Lost,-1
2020-12-06,14:31,Sunday,TURKEY TFF FIRST LEAGUE,Altinordu,Keciorengucu,0:2,0:2,2.108,P88,OVER,Lost,-1
2020-12-06,14:31,Sunday,*SPAIN LA LIGA,Granada CF,SD Huesca,1:2,3:3,2.116,P88,OVER,Won,1.12
2020-12-06,15:57,Sunday,*ENGLISH PREMIER LEAGUE,Sheffield United,Leicester City,1:1,1:2,3.77,PIN,OVER,Won,2.77
2020-12-06,16:16,Sunday,*GERMANY BUNDESLIGA,Werder Bremen,Stuttgart,0:1,1:2,3.68,PIN,OVER,Won,2.68
2020-12-06,16:32,Sunday,SWITZERLAND SUPER LEAGUE,Luzern,Young Boys,2:3,2:3,1.877,PIN,OVER,Lost,-1
2020-12-06,16:35,Sunday,CZECH REPUBLIC FIRST LEAGUE,Mlada Boleslav,FK Teplice,0:1,0:2,1.932,P88,OVER,Won,0.93
2020-12-06,16:46,Sunday,BELGIUM FIRST DIVISION A,Beerschot VA,KAS Eupen,0:1,0:1,4.344,P88,OVER,Lost,-1
2020-12-06,16:33,Sunday,UKRAINE PREMIER LEAGUE,Desna,Vorskla Poltava,0:0,1:0,2.23,SIN,OVER,Won,1.23
2020-12-06,16:37,Sunday,DENMARK SUPER LEAGUE,FC Copenhagen,AC Horsens,2:0,2:0,2.05,P88,OVER,Lost,-1
2020-12-06,16:46,Sunday,GREECE SUPER LEAGUE,Giannina,Lamia,1:0,2:0,2.472,P88,OVER,Won,1.47
2020-12-06,16:46,Sunday,*SPAIN LA LIGA,Osasuna,Real Betis,0:0,0:2,2.25,P88,OVER,Won,1.25
2020-12-06,16:32,Sunday,SWITZERLAND SUPER LEAGUE,FC Zurich,Lausanne,2:0,4:0,1.859,P88,OVER,Won,0.86
2020-12-06,17:32,Sunday,NORWAY ELITESERIEN,Mjondalen,IK Start,1:0,1:0,1.897,P88,OVER,Lost,-1
2020-12-06,17:34,Sunday,TURKEY TFF FIRST LEAGUE,Adana Demirspor,Akhisar Belediyespor,2:0,2:0,1.699,PIN,OVER,Lost,-1
2020-12-06,17:29,Sunday,AUSTRIA BUNDESLIGA,LASK Linz,SV Ried,2:0,3:0,1.735,PIN,OVER,Won,0.74
2020-12-06,18:02,Sunday,*ENGLISH PREMIER LEAGUE,Tottenham Hotspur,Arsenal,2:0,2:0,2.054,P88,OVER,Lost,-1
2020-12-06,18:06,Sunday,ROMANIA LIGA 1,Politehnica Iasi,CFR Cluj,0:1,0:2,2.199,P88,OVER,Won,1.2
2020-12-06,19:05,Sunday,*SPAIN LA LIGA,Villarreal,Elche,0:0,0:0,2.366,P88,OVER,Lost,-1
2020-12-06,19:09,Sunday,GREECE SUPER LEAGUE,AEK Athens,Panathinaikos,0:2,1:2,2.54,PIN,OVER,Won,1.54
2020-12-07,16:18,Monday,ROMANIA LIGA 1,Astra Giurgiu,FC Chindia Targoviste,0:0,0:0,2.524,P88,OVER,Lost,-1
2020-12-07,18:08,Monday,TURKEY SUPER LEAGUE,Trabzonspor,Sivasspor,1:0,1:1,2.08,PIN,OVER,Won,1.08
2020-12-07,18:32,Monday,ROMANIA LIGA 1,CS Universitatea Craiova,Gaz Metan Medias,3:1,3:1,2.12,PIN,OVER,Lost,-1
2020-12-07,19:04,Monday,GREECE SUPER LEAGUE,Panetolikos,AE Larissa,1:0,2:1,2.23,PIN,OVER,Won,1.23
2020-12-07,20:32,Monday,SWITZERLAND CHALLENGE LEAGUE,Grasshoppers Zurich,Neuchatel Xamax,1:0,3:0,1.884,PIN,OVER,Won,0.88
2020-12-08,17:32,Tuesday,CZECH REPUBLIC FIRST LEAGUE,FK Jablonec,Bohemians 1905,2:0,2:1,2.161,P88,OVER,Won,1.16
2020-12-08,19:41,Tuesday,SWITZERLAND CHALLENGE LEAGUE,Chiasso,Aarau,0:1,0:2,2.93,PIN,OVER,Won,1.93
2020-12-08,19:36,Tuesday,GERMANY BUNDESLIGA 3,SV Meppen,Waldhof Mannheim,2:0,2:0,1.787,PIN,OVER,Lost,-1
2020-12-08,20:30,Tuesday,SWITZERLAND CHALLENGE LEAGUE,FC Wil,Winterthur,1:0,1:0,2.07,PIN,OVER,Lost,-1
2020-12-09,17:33,Wednesday,TURKEY TFF FIRST LEAGUE,Altay,Ankaraspor,2:0,3:0,1.714,PIN,OVER,Won,0.71
2020-12-09,18:05,Wednesday,TURKEY SUPER LEAGUE,Hatayspor,Erzurum BB Spor,3:0,3:0,1.963,P88,OVER,Lost,-1
2020-12-09,18:48,Wednesday,SWITZERLAND SUPER LEAGUE,FC Basel,Sion,3:2,4:2,1.729,PIN,OVER,Won,0.73
2020-12-09,19:29,Wednesday,*UEFA CHAMPIONS LEAGUE,Ajax,Atalanta BC,0:0,0:1,2.236,P88,UNDER,Lost,-1
2020-12-09,19:27,Wednesday,*UEFA CHAMPIONS LEAGUE,FC Midtjylland,Liverpool,1:1,1:1,2.25,SIN,UNDER,Won,1.25
2020-12-10,11:33,Thursday,GEORGIA EROVNULI LIGA,Dinamo Tbilisi,FC Merani Tbilisi,2:0,3:0,1.98,SIN,OVER,Won,0.98
2020-12-10,19:29,Thursday,*UEFA EUROPA LEAGUE,Standard Liege,Benfica,2:2,2:2,2.08,PIN,UNDER,Won,1.08
2020-12-10,19:29,Thursday,*UEFA EUROPA LEAGUE,PSV Eindhoven,Omonia Nicosia,2:0,4:0,1.879,P88,OVER,Won,0.88
2020-12-10,19:30,Thursday,*UEFA EUROPA LEAGUE,CSKA Sofia,AS Roma,3:1,3:1,2.262,P88,OVER,Lost,-1
2020-12-10,19:29,Thursday,*UEFA EUROPA LEAGUE,Dundalk,Arsenal,1:3,2:4,1.949,P88,OVER,Won,0.95
2020-12-10,19:34,Thursday,*UEFA EUROPA LEAGUE,PAOK,Granada CF,0:0,0:0,1.46,SIN,UNDER,Won,0.46
2020-12-10,19:33,Thursday,*UEFA EUROPA LEAGUE,Napoli,Real Sociedad,1:0,1:1,2.11,SIN,OVER,Won,1.11
2020-12-10,19:34,Thursday,*UEFA EUROPA LEAGUE,Hapoel Beer Sheva,Nice,1:0,1:0,2.28,SIN,OVER,Lost,-1
2020-12-10,19:28,Thursday,*UEFA EUROPA LEAGUE,Lech Poznan,Rangers,0:2,0:2,2.25,SIN,OVER,Lost,-1
2020-12-11,17:32,Friday,ROMANIA LIGA 1,Botosani,Astra Giurgiu,1:1,1:1,2.23,PIN,OVER,Lost,-1
2020-12-11,17:48,Friday,TURKEY SUPER LEAGUE,Kasimpasa SK,Denizlispor,3:1,3:2,5.09,PIN,OVER,Won,4.09
2020-12-11,19:11,Friday,GERMANY BUNDESLIGA 2,Bochum,SC Paderborn 07,3:0,3:0,2.455,P88,OVER,Lost,-1
2020-12-11,19:03,Friday,AUSTRIA ERSTE LIGA,Floridsdorfer AC,SKU Amstetten,0:1,0:2,2.177,P88,OVER,Won,1.18
2020-12-11,19:01,Friday,AUSTRIA ERSTE LIGA,BW Linz,FC Juniors OO,1:0,2:0,1.98,PIN,OVER,Won,0.98
2020-12-11,19:02,Friday,GERMANY BUNDESLIGA 2,SV Sandhausen 1916,Greuther Furth,0:2,0:3,2.002,P88,OVER,Won,1.0
2020-12-12,13:36,Saturday,GERMANY BUNDESLIGA 2,Jahn Regensburg,Holstein Kiel,1:3,2:3,1.877,PIN,OVER,Won,0.88
2020-12-12,13:33,Saturday,GERMANY BUNDESLIGA 2,FC Heidenheim,Hannover 96,1:0,1:0,1.98,P88,OVER,Lost,-1
2020-12-12,13:41,Saturday,UKRAINE PREMIER LEAGUE,Vorskla Poltava,FK Minai,1:1,1:1,2.86,PIN,OVER,Lost,-1
2020-12-12,14:34,Saturday,*SPAIN LA LIGA,Valencia,Athletic Club Bilbao,1:1,2:2,2.455,P88,OVER,Won,1.46
2020-12-12,14:40,Saturday,CZECH REPUBLIC FIRST LEAGUE,Ceske Budejovice,MFK Karvina,1:1,1:1,2.64,PIN,OVER,Lost,-1
2020-12-12,14:34,Saturday,GERMANY BUNDESLIGA 3,SC Verl,Viktoria Koln,1:1,1:1,1.917,PIN,UNDER,Won,0.92
2020-12-12,14:45,Saturday,HOLLAND EERSTE DIVISIE,Dordrecht,NEC Nijmegen,0:2,1:2,4.2,PIN,OVER,Won,3.2
2020-12-12,14:36,Saturday,TURKEY SUPER LEAGUE,Rizespor,Goztepe,2:1,3:2,2.031,P88,OVER,Won,1.03
2020-12-12,15:01,Saturday,AUSTRIA ERSTE LIGA,SK Vorwaerts Steyr,FC Dornbirn,1:0,1:1,1.884,PIN,OVER,Won,0.88
2020-12-12,14:33,Saturday,CZECH REPUBLIC FIRST LEAGUE,Opava,Mlada Boleslav,2:2,2:2,2.16,SIN,OVER,Lost,-1
2020-12-12,14:35,Saturday,GERMANY BUNDESLIGA 3,Uerdingen,SV ATA Spor Munchen,1:0,1:0,2,SIN,OVER,Lost,-1
2020-12-12,16:02,Saturday,*GERMANY BUNDESLIGA,RB Leipzig,Werder Bremen,2:0,2:0,1.884,PIN,OVER,Lost,-1
2020-12-12,16:04,Saturday,*GERMANY BUNDESLIGA,Freiburg,Arminia Bielefeld,0:0,2:0,2.4,PIN,OVER,Won,1.4
2020-12-12,16:04,Saturday,*GERMANY BUNDESLIGA,Mainz 05,FC Koln,0:1,0:1,1.952,PIN,OVER,Lost,-1
